date,opponent,uw_score,opponent_score,passing_yards,rushing_yards,fumbles,uw_win
9/4/15,Boise State,13,16,150,29,0,0
9/12/15,Sacramento State,49,0,326,218,1,1
9/19/15,Utah State,31,17,368,74,2,1
9/26/15,California,24,30,152,107,3,0
10/8/15,Southern California,17,12,164,135,0,1
10/17/15,Oregon,20,26,205,180,0,0
10/24/15,Stanford,14,31,118,113,0,0
10/31/15,Arizona,49,3,267,201,0,1
11/7/15,Utah,23,34,257,124,3,0
11/14/15,Arizona State,23,27,405,142,1,0
11/21/15,Oregon State,52,7,211,271,0,1
11/27/15,Washington State,45,10,203,240,0,1
12/26/15,Southern Mississippi,44,31,284,296,1,1